season,episode,title,imdb_id,total_votes,unweighted_mean,hist10_pct,hist10_votes,hist9_pct,hist9_votes,hist8_pct,hist8_votes,hist7_pct,hist7_votes,hist6_pct,hist6_votes,hist5_pct,hist5_votes,hist4_pct,hist4_votes,hist3_pct,hist3_votes,hist2_pct,hist2_votes,hist1_pct,hist1_votes
4,8,Tony Three Pies,tt6397400,275,8.5,29.1,80,28.7,79,23.3,64,14.2,39,1.5,4,0.4,1,1.1,3,0.4,1,0.0,0,1.5,4
5,1,Not in Hologram,tt7112824,277,8.2,22.4,62,18.4,51,33.6,93,17.0,47,5.1,14,0.7,2,1.1,3,0.4,1,0.4,1,1.1,3
5,2,A Wind-dried Puffin,tt7413768,258,8.2,23.6,61,15.9,41,34.1,88,16.3,42,7.0,18,0.8,2,0.8,2,0.8,2,0.0,0,0.8,2
5,3,Phoenix,tt7413770,256,8.3,23.4,60,21.1,54,30.1,77,18.0,46,4.3,11,1.6,4,0.4,1,0.0,0,0.4,1,0.8,2
5,4,Residue,tt7437604,250,8.1,23.2,58,14.4,36,32.4,81,20.4,51,6.0,15,1.6,4,0.8,2,0.0,0,0.4,1,0.8,2
5,5,Spoony Neeson,tt7442352,266,8.5,29.3,78,24.4,65,26.3,70,13.5,36,2.6,7,1.5,4,0.8,2,0.4,1,0.0,0,1.1,3
5,6,Dignity Intact,tt7442356,257,8.4,27.2,70,22.2,57,29.2,75,15.6,40,2.7,7,1.2,3,0.4,1,0.0,0,0.4,1,1.2,3
5,7,The Leprechaun or the Lesbian,tt7442368,246,8.2,23.2,57,15.0,37,36.2,89,18.3,45,3.3,8,1.2,3,1.2,3,0.4,1,0.0,0,1.2,3
5,8,Their Water's So Delicious,tt7442370,330,8.9,47.6,157,22.1,73,17.0,56,7.6,25,2.4,8,0.9,3,0.3,1,0.0,0,0.3,1,1.8,6
6,1,The old soft curved padlock,tt8045348,260,7.6,16.9,44,9.2,24,31.9,83,24.2,63,8.8,23,1.9,5,2.3,6,1.2,3,0.8,2,2.7,7
6,2,Tarpeters,tt8045990,237,7.7,17.7,42,11.0,26,35.0,83,21.9,52,5.5,13,1.7,4,2.5,6,1.3,3,1.3,3,2.1,5
6,3,One warm prawn,tt8046950,233,7.5,17.2,40,8.2,19,26.6,62,30.5,71,7.7,18,3.4,8,2.1,5,0.4,1,0.9,2,3.0,7
6,4,BMXing!,tt8046954,232,7.6,19.4,45,8.6,20,31.5,73,25.0,58,7.3,17,1.3,3,2.2,5,0.9,2,0.9,2,3.0,7
6,5,H,tt8046956,224,8.0,21.0,47,12.9,29,33.9,76,22.3,50,5.4,12,0.9,2,0.9,2,0.4,1,0.4,1,1.8,4
6,6,We met at mealtimes,tt8046962,220,7.8,17.7,39,10.9,24,33.6,74,24.1,53,6.8,15,2.3,5,2.3,5,0.5,1,0.5,1,1.4,3
6,7,Roadkill doused in syrup,tt8046964,220,8.0,21.4,47,15.9,35,29.1,64,21.8,48,5.9,13,2.3,5,1.4,3,0.0,0,0.9,2,1.4,3
6,8,What kind of pictures?,tt8046966,216,7.6,17.6,38,6.9,15,29.2,63,31.0,67,10.2,22,0.9,2,0.9,2,0.9,2,0.9,2,1.4,3
6,9,The Bubble Brothers,tt8046974,210,7.9,17.1,36,12.9,27,40.0,84,20.0,42,4.3,9,1.4,3,1.4,3,0.0,0,1.0,2,1.9,4
6,10,He was a different man,tt8046978,223,8.2,25.6,57,16.1,36,32.7,73,16.6,37,4.9,11,1.3,3,0.4,1,0.0,0,0.4,1,1.8,4
7,1,The mean bean,tt8046982,293,8.4,29.7,87,20.5,60,31.4,92,11.9,35,2.7,8,1.4,4,0.3,1,0.3,1,0.3,1,1.4,4
7,2,My eyes are circles,tt8047786,263,8.3,27.8,73,14.8,39,35.7,94,14.8,39,3.4,9,1.5,4,0.0,0,0.4,1,0.4,1,1.1,3
7,3,Twelve blush majesty two,tt8047790,261,8.4,29.1,76,21.5,56,30.3,79,12.6,33,2.7,7,1.9,5,0.4,1,0.4,1,0.0,0,1.1,3
7,4,OLLIE,tt8047792,280,8.6,33.2,93,25.7,72,25.0,70,10.7,30,0.7,2,1.4,4,1.1,3,0.0,0,0.4,1,1.8,5
7,5,Lotta soup,tt8047794,253,8.2,25.7,65,16.2,41,34.8,88,13.8,35,5.1,13,1.2,3,1.2,3,0.8,2,0.0,0,1.2,3
7,6,A coquettish fascinator,tt8047796,264,8.4,28.8,76,22.3,59,25.4,67,16.7,44,2.7,7,1.1,3,0.4,1,0.8,2,0.0,0,1.9,5
7,7,The perfect stuff,tt8047798,283,8.6,36.0,102,20.5,58,26.9,76,10.6,30,2.5,7,1.1,3,0.0,0,0.7,2,0.4,1,1.4,4
7,8,Mother honks her horn,tt8047800,257,8.4,28.0,72,18.7,48,33.1,85,12.5,32,3.5,9,2.3,6,0.4,1,0.0,0,0.4,1,1.2,3
8,1,Hello,tt8046984,248,7.9,18.1,45,12.9,32,33.1,82,25.0,62,4.0,10,2.4,6,1.6,4,0.8,2,0.8,2,1.2,3
